55,JINYA Ramen Bar,https://www.yelp.com/biz/jinya-ramen-bar-atlanta-7?osq=Restaurants
56,La Tavola Trattoria,https://www.yelp.com/biz/la-tavola-trattoria-atlanta?osq=Restaurants
57,Bar-Bacoa,https://www.yelp.com/biz/bar-bacoa-atlanta-5?osq=Restaurants
58,Mamoun’s Falafel,https://www.yelp.com/biz/mamouns-falafel-atlanta?osq=Restaurants
59,The Optimist,https://www.yelp.com/biz/the-optimist-atlanta?osq=Restaurants
60,Bacchanalia,https://www.yelp.com/biz/bacchanalia-atlanta?osq=Restaurants
61,Poor Hendrix,https://www.yelp.com/biz/poor-hendrix-atlanta?osq=Restaurants
62,gusto!,https://www.yelp.com/biz/gusto-atlanta-2?osq=Restaurants
63,Torched Hop Brewing,https://www.yelp.com/biz/torched-hop-brewing-atlanta?osq=Restaurants
64,Bones,https://www.yelp.com/biz/bones-atlanta-6?osq=Restaurants
65,Tabla,https://www.yelp.com/biz/tabla-atlanta?osq=Restaurants
66,Triple Jays Pizza Bar,https://www.yelp.com/biz/triple-jays-pizza-bar-atlanta?osq=Restaurants
67,Agatha’s A Taste Of Mystery,https://www.yelp.com/biz/agathas-a-taste-of-mystery-atlanta-2?osq=Restaurants
68,Machu Picchu Restaurant,https://www.yelp.com/biz/machu-picchu-restaurant-brookhaven?osq=Restaurants
69,Cypress Street Pint & Plate,https://www.yelp.com/biz/cypress-street-pint-and-plate-atlanta?osq=Restaurants
70,Mission + Market,https://www.yelp.com/biz/mission-market-atlanta?osq=Restaurants
71,Rina,https://www.yelp.com/biz/rina-atlanta?osq=Restaurants
72,Papi’s Cuban & Caribbean Grill,https://www.yelp.com/biz/papis-cuban-and-caribbean-grill-atlanta?osq=Restaurants
73,WIN Indonesian Grill & Gastrobar,https://www.yelp.com/biz/win-indonesian-grill-and-gastrobar-atlanta?osq=Restaurants
74,Old Lady Gang,https://www.yelp.com/biz/old-lady-gang-atlanta?osq=Restaurants
75,Tuza Taco,https://www.yelp.com/biz/tuza-taco-atlanta?osq=Restaurants
76,Nuevo Laredo Cantina,https://www.yelp.com/biz/nuevo-laredo-cantina-atlanta?osq=Restaurants
77,Chama Gaucha Brazilian Steakhouse,https://www.yelp.com/biz/chama-gaucha-brazilian-steakhouse-atlanta?osq=Restaurants
78,Staplehouse,https://www.yelp.com/biz/staplehouse-atlanta?osq=Restaurants
79,Ecco Buckhead,https://www.yelp.com/biz/ecco-buckhead-atlanta?osq=Restaurants
80,Lazy Betty,https://www.yelp.com/biz/lazy-betty-atlanta-2?osq=Restaurants
81,Little Bangkok,https://www.yelp.com/biz/little-bangkok-atlanta?osq=Restaurants
82,Cafe Agora Midtown,https://www.yelp.com/biz/cafe-agora-midtown-atlanta?osq=Restaurants
83,Ponko Chicken,https://www.yelp.com/biz/ponko-chicken-atlanta-3?osq=Restaurants
84,Cooks & Soldiers,https://www.yelp.com/biz/cooks-and-soldiers-atlanta?osq=Restaurants
85,Heirloom Market BBQ,https://www.yelp.com/biz/heirloom-market-bbq-atlanta?osq=Restaurants
86,Kinnotori Ramen Bar,https://www.yelp.com/biz/kinnotori-ramen-bar-atlanta?osq=Restaurants
87,Yard House - Takeout & Delivery Available,https://www.yelp.com/biz/yard-house-takeout-and-delivery-available-atlanta?osq=Restaurants
88,Herban Fix - Vegan Kitchen,https://www.yelp.com/biz/herban-fix-vegan-kitchen-atlanta?osq=Restaurants
89,Farm Burger,https://www.yelp.com/biz/farm-burger-atlanta-3?osq=Restaurants
90,La Fonda Latina,https://www.yelp.com/biz/la-fonda-latina-atlanta-4?osq=Restaurants
91,Canoe,https://www.yelp.com/biz/canoe-atlanta-2?osq=Restaurants
92,Roasters,https://www.yelp.com/biz/roasters-atlanta-6?osq=Restaurants
93,Twisted Soul Cookhouse & Pours,https://www.yelp.com/biz/twisted-soul-cookhouse-and-pours-atlanta-2?osq=Restaurants
94,Grub Burger Bar,https://www.yelp.com/biz/grub-burger-bar-atlanta-3?osq=Restaurants
95,Ginya Izakaya,https://www.yelp.com/biz/ginya-izakaya-atlanta-4?osq=Restaurants
96,Aziza,https://www.yelp.com/biz/aziza-atlanta-2?osq=Restaurants
97,Hawkers Asian Street Fare,https://www.yelp.com/biz/hawkers-asian-street-fare-atlanta?osq=Restaurants
98,Forza Storico,https://www.yelp.com/biz/forza-storico-atlanta?osq=Restaurants
99,Barcelona Inman Park,https://www.yelp.com/biz/barcelona-inman-park-atlanta?osq=Restaurants
100,Marcel,https://www.yelp.com/biz/marcel-atlanta?osq=Restaurants
101,Ameer’s Mediterranean Grill,https://www.yelp.com/biz/ameers-mediterranean-grill-atlanta?osq=Restaurants
102,bartaco,https://www.yelp.com/biz/bartaco-atlanta-4?osq=Restaurants
103,Ted’s Montana Grill - Luckie Street,https://www.yelp.com/biz/teds-montana-grill-luckie-street-atlanta?osq=Restaurants
